ID,Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Influence,Creativity,Threat,ICT Index,BPS,Chance Of Playing,News,Days Since News Added,Selected By Percent,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Direct_Freekick_or_Penalty,Indirect_Freekick_or_Corner,Clean Sheet Adder,Goal Scored Adder,Assists Adder,Penalty Missed Adder,Penalties Saved Adder,3_Shot Save Adder,2_Goals Conceded Adder,Yellow Card Adder,Red Card Adder,Own Goal Adder,EP Next,Goal Contributions,Goals per 90,Assists per 90,Threat per 90
298,Mavididi,Midfielder,Leicester,5.3,27,3.4,2,2.3,114.0,102.9,95.0,31.1,91,100,No news,,1.2,471,2,0,1,6,1.15,0,0,0,0,0,0,3,1,1,1,5,3,-2,5,0,0,-1,-3,-2,2.3,2,0.38216560509554137,0.0,18.152866242038215
594,Mazraoui,Defender,Man Utd,4.6,27,3.4,1,0.7,122.2,51.1,44.0,21.7,104,100,No news,17.0,13.2,559,0,1,3,8,1.29,0,0,0,1,0,0,2,0,0,4,6,3,-2,5,0,-4,-1,-3,-2,0.7,1,0.0,0.16100178890876565,7.084078711985689
232,Ndiaye,Forward,Everton,5.4,27,3.4,9,4.7,162.6,82.1,120.0,36.6,131,100,No news,,1.3,562,2,0,3,8,1.28,0,0,0,1,0,0,6,0,0,0,4,3,-2,5,0,0,-1,-3,-2,4.7,2,0.3202846975088968,0.0,19.21708185053381
233,Onana,Midfielder,Aston Villa,5.1,27,3.9,2,1.3,146.2,48.5,86.0,28.2,118,100,No news,21.0,7.0,496,2,0,1,8,1.45,0,0,0,2,0,0,5,0,0,1,5,3,-2,5,0,0,-1,-3,-2,1.3,2,0.3629032258064516,0.0,15.60483870967742
83,Tavernier,Midfielder,Bournemouth,5.5,27,3.4,3,3.0,151.6,267.9,210.0,63.0,106,100,No news,,0.4,663,1,1,2,9,1.22,0,0,0,1,0,0,2,1,1,1,5,3,-2,5,0,0,-1,-3,-2,3.0,2,0.13574660633484165,0.13574660633484165,28.506787330316744
88,Collins,Defender,Brentford,4.5,26,3.2,1,4.3,270.6,32.7,141.0,44.4,104,100,No news,,2.3,720,1,3,0,15,1.88,0,0,0,1,0,0,1,0,0,4,6,3,-2,5,0,-7,-1,-3,-2,4.3,4,0.125,0.375,17.625
557,Mario Jr.,Midfielder,Wolves,5.0,26,3.2,2,2.0,178.0,81.2,84.0,34.2,126,100,No news,45.0,0.4,719,1,1,0,23,2.88,0,0,0,2,0,0,4,0,0,1,5,3,-2,5,0,0,-1,-3,-2,2.0,2,0.12517385257301808,0.12517385257301808,10.514603616133519
385,Rashford,Midfielder,Man Utd,6.9,26,3.2,6,3.3,116.6,162.4,110.0,38.9,105,100,No news,,3.2,570,1,1,3,7,1.11,0,0,0,1,0,0,1,1,0,1,5,3,-2,5,0,0,-1,-3,-2,3.3,2,0.15789473684210528,0.15789473684210528,17.36842105263158
255,Robinson,Defender,Fulham,4.7,26,3.2,1,3.0,197.2,121.8,28.0,34.8,105,100,No news,,15.4,720,0,2,1,11,1.38,0,0,0,1,0,0,3,0,0,4,6,3,-2,5,0,-5,-1,-3,-2,3.0,2,0.0,0.25,3.5
23,Trossard,Midfielder,Arsenal,6.9,26,3.2,3,5.3,119.6,112.5,127.0,35.7,92,100,No news,,2.7,407,2,1,2,5,1.11,0,0,0,0,1,0,3,0,1,1,5,3,-2,5,0,0,-1,-3,-2,5.3,3,0.44226044226044225,0.22113022113022113,28.083538083538084
506,Van de Ven,Defender,Spurs,4.7,26,3.7,1,4.3,140.6,35.5,30.0,20.7,122,100,No news,52.0,11.8,620,0,2,2,7,1.02,0,0,0,3,0,0,2,0,0,4,6,3,-2,5,0,-3,-1,-3,-2,4.8,2,0.0,0.29032258064516125,4.354838709677419
199,Eze,Midfielder,Crystal Palace,6.7,25,3.1,2,2.0,132.4,230.6,241.0,60.3,125,100,No news,,13.8,720,1,0,1,11,1.38,0,0,0,0,0,0,3,1,1,1,5,3,-2,5,0,0,-1,-3,-2,1.5,1,0.125,0.0,30.125
126,Hinshelwood,Midfielder,Brighton,5.0,25,3.1,2,2.0,101.8,104.8,59.0,26.7,110,100,No news,,0.2,696,1,0,3,10,1.29,0,0,0,2,0,0,3,0,0,1,5,3,-2,5,0,0,-1,-3,-2,2.0,1,0.12931034482758622,0.0,7.629310344827586
434,Hudson-Odoi,Midfielder,Nottm Forest,5.4,25,3.1,3,2.0,100.8,193.0,114.0,40.7,124,75,Knock,1.0,2.1,563,1,1,3,4,0.64,0,0,0,1,0,0,1,0,1,1,5,3,-2,5,0,0,-1,-3,-2,1.5,2,0.15985790408525755,0.15985790408525755,18.22380106571936
